Date,Open,High,Low,Close,Adj Close,Volume
2015-05-12,9.550000,9.550000,9.333330,9.366670,7.513591,28250078
2015-05-13,9.416670,9.483330,9.266670,9.316670,7.473483,50363112
2015-05-14,9.300000,9.316670,9.016670,9.116670,7.313050,35548302
2015-05-15,9.233330,9.300000,9.000000,9.233330,7.406630,25162707
2015-05-18,9.166670,9.166670,8.933330,9.000000,7.219462,32971320
2015-05-19,8.950000,9.316670,8.933330,9.283330,7.446738,38061612
2015-05-20,9.333330,9.383330,9.183330,9.250000,7.420003,35103799
2015-05-21,9.316670,9.316670,9.066670,9.066670,7.272942,33205315
2015-05-22,9.150000,9.300000,9.083330,9.283330,7.446738,27757736
2015-05-26,9.500000,9.666670,9.400000,9.500000,7.620543,54082680
2015-05-27,9.566670,9.566670,9.200000,9.366670,7.513591,31789626
2015-05-28,9.366670,9.383330,8.850000,9.033330,7.246198,92942535
2015-05-29,9.116670,9.116670,8.883330,8.900000,7.139246,69151924
2015-06-01,8.883330,9.166670,8.833330,8.933330,7.165981,50269368
2015-06-02,8.950000,8.983330,8.800000,8.916670,7.152618,31235406
2015-06-03,8.850000,8.933330,8.783330,8.883330,7.125875,24761347
2015-06-04,8.800000,9.166670,8.683330,8.866670,7.112509,55387342
2015-06-05,8.833330,9.116670,8.733330,8.816670,7.072401,49205954
2015-06-08,8.750000,9.200000,8.583330,8.983330,7.206089,60915864
2015-06-09,8.950000,9.083330,8.833330,8.866670,7.112509,40511334
2015-06-10,8.833330,9.050000,8.783330,8.866670,7.112509,32047761
2015-06-11,8.900000,8.983330,8.783330,8.900000,7.139246,25333603
2015-06-12,8.966670,9.066670,8.933330,9.033330,7.246198,38647742
2015-06-15,8.866670,9.000000,8.733330,8.750000,7.018921,20450816
2015-06-16,8.600000,8.916670,8.333330,8.350000,6.698057,39226743
2015-06-17,8.400000,8.616670,8.291670,8.516670,6.831753,24865306
2015-06-18,8.466670,8.516670,8.300000,8.416670,6.751536,22308848
2015-06-19,8.616670,8.616670,8.275000,8.400000,6.738163,33160305
2015-06-22,8.500000,8.566670,8.300000,8.500000,6.818380,17299110
2015-06-23,8.500000,8.716670,8.366670,8.666670,7.068083,37726155
2015-06-24,8.716670,8.766670,8.550000,8.733330,7.122446,27492351
2015-06-25,8.800000,9.266670,8.683330,8.883330,7.244781,78806107
2015-06-26,8.583330,8.866670,8.333330,8.483330,6.918561,56153305
2015-06-29,8.583330,8.633330,8.025000,8.200000,6.687491,66950510
2015-06-30,8.366670,8.633330,8.208330,8.466670,6.904974,39982918
2015-07-02,8.450000,8.550000,8.150000,8.283330,6.755450,43685479
2015-07-03,8.291670,8.383330,8.041670,8.100000,6.605937,47263766
2015-07-06,8.275000,8.400000,7.600000,7.883330,6.429231,132285968
2015-07-07,7.825000,7.950000,7.358330,7.483330,6.103013,105293025
2015-07-08,7.333330,7.333330,6.166670,6.650000,5.423392,195897874
2015-07-09,6.425000,7.600000,6.425000,7.166670,5.844760,123955644
2015-07-10,7.375000,8.050000,7.208330,7.600000,6.198163,104363162
2015-07-13,7.608330,7.875000,7.533330,7.691670,6.272923,64982631
2015-07-14,7.691670,7.925000,7.666670,7.841670,6.395257,110400523
2015-07-15,7.841670,7.875000,7.575000,7.666670,6.252535,50623873
2015-07-16,7.566670,7.700000,7.508330,7.641670,6.232146,29275250
2015-07-17,7.666670,7.808330,7.650000,7.666670,6.252535,34279072
2015-07-20,7.733330,7.775000,7.516670,7.616670,6.211758,27057056
2015-07-21,7.583330,7.658330,7.516670,7.608330,6.204956,21672600
2015-07-22,7.508330,7.558330,7.358330,7.491670,6.109814,34659505
2015-07-23,7.425000,7.700000,7.425000,7.633330,6.225345,28566354
2015-07-24,7.541670,7.633330,7.516670,7.566670,6.170980,24359613
2015-07-27,7.450000,7.508330,7.208330,7.350000,5.994276,44619060
2015-07-28,7.291670,7.475000,7.125000,7.200000,5.871943,58047579
2015-07-29,7.266670,7.383330,7.141670,7.341670,5.987483,33359140
2015-07-30,7.416670,7.416670,7.208330,7.275000,5.933110,23595192
2015-07-31,7.250000,7.400000,7.233330,7.275000,5.933110,18719040
2015-08-03,7.308330,7.325000,7.133330,7.308330,5.960292,16784006
2015-08-04,7.308330,7.458330,7.250000,7.316670,5.967093,18589797
2015-08-05,7.250000,7.375000,7.250000,7.333330,5.980680,9135793
2015-08-06,7.275000,7.358330,7.216670,7.266670,5.926317,14822112
2015-08-07,7.250000,7.525000,7.250000,7.375000,6.014664,34652236
2015-08-10,7.300000,7.541670,7.258330,7.425000,6.055442,23545536
2015-08-11,7.425000,7.716670,7.383330,7.450000,6.075830,38812338
2015-08-12,7.450000,7.466670,7.158330,7.283330,5.939903,44076757
2015-08-13,7.233330,7.425000,7.233330,7.266670,5.926317,31987875
2015-08-14,7.275000,7.325000,7.133330,7.175000,5.851555,23849136
2015-08-17,7.166670,7.200000,6.916670,7.141670,5.824372,14444923
2015-08-18,7.133330,7.225000,6.966670,7.008330,5.715627,22110864
2015-08-19,6.983330,7.100000,6.900000,7.000000,5.708834,33365054
2015-08-20,6.875000,6.908330,6.683330,6.708330,5.470963,65042508
2015-08-21,6.625000,6.741670,6.475000,6.608330,5.389409,58205824
2015-08-24,6.358330,6.358330,5.916670,6.200000,5.056396,100660412
2015-08-25,6.400000,6.483330,6.008330,6.208330,5.063190,74330868
2015-08-26,6.333330,6.600000,6.058330,6.275000,5.117562,39716174
2015-08-27,6.466670,6.541670,6.266670,6.466670,5.273878,45828774
2015-08-28,6.466670,6.550000,6.241670,6.266670,5.110768,54247802
2015-08-31,6.291670,6.350000,6.091670,6.258330,5.103967,38227092
2015-09-01,6.258330,6.258330,5.975000,6.058330,4.940857,39146676
2015-09-02,5.916670,5.991670,5.583330,5.783330,4.716582,108423682
2015-09-04,5.891670,5.891670,5.616670,5.691670,4.641829,57842383
2015-09-07,5.666670,5.883330,5.658330,5.725000,4.669011,61538815
2015-09-08,5.716670,6.066670,5.716670,5.966670,4.866104,57413724
2015-09-09,6.150000,6.308330,6.058330,6.283330,5.124355,72893449
2015-09-10,6.133330,6.175000,6.041670,6.116670,4.988436,35101983
2015-09-11,6.108330,6.250000,6.058330,6.083330,4.961246,41344006
2015-09-14,6.025000,6.233330,6.008330,6.175000,5.036007,30751651
2015-09-15,6.150000,6.225000,6.091670,6.166670,5.029213,19973692
2015-09-16,6.233330,6.441670,6.175000,6.316670,5.151546,48738775
2015-09-17,6.416670,6.483330,6.308330,6.341670,5.171935,44940441
2015-09-18,6.375000,6.450000,6.300000,6.383330,5.205910,22565323
2015-09-21,6.266670,6.308330,6.166670,6.266670,5.110768,24415915
2015-09-22,6.291670,6.383330,6.225000,6.233330,5.083578,17557104
2015-09-23,6.183330,6.183330,5.933330,6.008330,4.900079,59504184
2015-09-24,6.008330,6.066670,5.941670,5.958330,4.859302,27110976
2015-09-25,5.983330,6.125000,5.933330,6.000000,4.893286,33417872
2015-09-29,5.700000,5.916670,5.683330,5.883330,4.798136,39021198
2015-09-30,5.933330,6.058330,5.883330,5.950000,4.852509,41948413
2015-10-02,6.008330,6.108330,5.950000,6.033330,4.920469,32601873
2015-10-05,6.116670,6.208330,6.083330,6.150000,5.015618,18675744
2015-10-06,6.208330,6.225000,6.058330,6.141670,5.008825,18888888
2015-10-07,6.166670,6.400000,6.133330,6.375000,5.199117,31142395
2015-10-08,6.358330,6.375000,6.241670,6.316670,5.151546,21928536
2015-10-09,6.358330,6.625000,6.358330,6.500000,5.301060,43757974
2015-10-12,6.508330,6.633330,6.491670,6.566670,5.355433,28212112
2015-10-13,6.525000,6.608330,6.441670,6.483330,5.287465,15543217
2015-10-14,6.433330,6.483330,6.366670,6.408330,5.226299,16970275
2015-10-15,6.566670,6.600000,6.450000,6.516670,5.314656,22966489
2015-10-16,6.658330,6.658330,6.541670,6.583330,5.369020,21451066
2015-10-19,6.600000,6.625000,6.491670,6.608330,5.389409,13245028
2015-10-20,6.566670,6.625000,6.508330,6.608330,5.389409,12318139
2015-10-22,6.575000,6.666670,6.500000,6.541670,5.335044,19981969
2015-10-23,6.708330,6.708330,6.558330,6.625000,5.403003,25790719
2015-10-26,6.650000,6.700000,6.583330,6.633330,5.409797,16066726
2015-10-27,6.633330,6.666670,6.508330,6.616670,5.396210,20837013
2015-10-28,6.533330,6.575000,6.466670,6.533330,5.328242,22366564
