Date,Open,High,Low,Close,Adj Close,Volume
2015-05-12,16.820000,16.820000,16.660000,16.740000,12.760298,39800
2015-05-13,16.690001,16.700001,16.559999,16.610001,12.661203,22700
2015-05-14,16.750000,16.770000,16.670000,16.760000,12.775543,140700
2015-05-15,16.950001,17.100000,16.950001,17.090000,13.027090,42700
2015-05-18,16.910000,17.049999,16.900000,17.049999,12.996599,42700
2015-05-19,17.200001,17.290001,17.200001,17.290001,13.179543,30700
2015-05-20,17.230000,17.370001,17.230000,17.350000,13.225280,36900
2015-05-21,17.440001,17.440001,17.320000,17.350000,13.225280,28400
2015-05-22,17.610001,17.870001,17.610001,17.860001,13.614035,119500
2015-05-26,18.010000,18.040001,17.920000,17.950001,13.682639,46900
2015-05-27,18.010000,18.010000,17.780001,17.930000,13.667391,64600
2015-05-28,17.280001,17.420000,17.209999,17.299999,13.187164,46600
2015-05-29,17.320000,17.469999,17.230000,17.260000,13.156675,145300
2015-06-01,17.450001,17.510000,17.420000,17.450001,13.301505,28400
2015-06-02,17.350000,17.580000,17.350000,17.379999,13.248147,70700
2015-06-03,17.240000,17.400000,17.240000,17.350000,13.225280,48300
2015-06-04,17.299999,17.400000,17.250000,17.250000,13.149053,35700
2015-06-05,17.070000,17.110001,16.950001,17.040001,12.988978,60800
2015-06-08,17.330000,17.330000,17.160000,17.180000,13.095695,37600
2015-06-09,16.900000,17.000000,16.900000,16.990000,12.950863,47000
2015-06-10,16.860001,16.920000,16.719999,16.850000,12.844146,35200
2015-06-11,17.059999,17.059999,16.959999,17.049999,12.996599,32500
2015-06-12,17.090000,17.160000,17.090000,17.139999,13.065203,106200
2015-06-15,16.620001,16.709999,16.559999,16.570000,12.630713,52400
2015-06-16,16.370001,16.540001,16.370001,16.530001,12.600223,77700
2015-06-17,16.500000,16.559999,16.480000,16.530001,12.600223,96500
2015-06-18,16.490000,16.540001,16.430000,16.520000,12.592601,23900
2015-06-19,16.280001,16.500000,16.280001,16.400000,12.501127,37000
2015-06-22,16.570000,16.700001,16.570000,16.690001,12.722185,35400
2015-06-23,16.700001,17.180000,16.700001,17.170000,13.088071,54400
2015-06-24,17.250000,17.410000,17.250000,17.309999,13.194788,31700
2015-06-25,17.209999,17.209999,16.730000,16.820000,13.461293,52100
2015-06-26,16.719999,16.780001,16.170000,16.190001,12.957094,91300
2015-06-29,15.550000,15.720000,15.460000,15.500000,12.404878,117600
2015-06-30,16.010000,16.010000,15.740000,15.840000,12.676984,187200
2015-07-01,15.800000,15.800000,15.660000,15.700000,12.564940,24400
2015-07-02,15.720000,15.950000,15.720000,15.820000,12.660978,17300
